Step	Training Loss	Validation Loss
100	0.291700	0.357064
200	0.878700	0.368534
300	0.336600	0.400146
400	0.231900	0.313370
500	0.300500	0.356679
600	0.423100	0.305207
700	0.253500	0.321762
800	0.225700	0.274425
900	0.077100	0.256688
1000	0.097800	0.230411
1100	0.203100	0.223623
1200	0.247100	0.243063
1300	0.151400	0.189706


R2

100	0.299300	0.286300
200	0.800300	0.335807
300	0.187200	0.242406
400	0.126700	0.236244
500	0.221400	0.256431
600	0.288500	0.218684
700	0.165400	0.198765
800	0.163300	0.206228
900	0.038100	0.186784
1000	0.063300	0.176708
1100	0.163000	0.186138
1200	0.171800	0.187476
1300	0.174300	0.185399
